route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
1,ASP24GEN-1038-Sunday-00_000600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_002600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_004600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_006600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_007200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,ASP24GEN-1038-Sunday-00_008600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_009200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,ASP24GEN-1038-Sunday-00_010600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_011200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,ASP24GEN-1038-Sunday-00_012600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_013200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,ASP24GEN-1038-Sunday-00_014600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_015200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,ASP24GEN-1038-Sunday-00_016600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_017200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,ASP24GEN-1038-Sunday-00_018600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_019200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,ASP24GEN-1038-Sunday-00_020600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_021200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,ASP24GEN-1038-Sunday-00_022600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_023200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,ASP24GEN-1038-Sunday-00_024600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_025200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,ASP24GEN-1038-Sunday-00_026600_1..S03R,Sunday,South Ferry,1,1..S03R
1,ASP24GEN-1038-Sunday-00_027200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
1,ASP24GEN-1038-Sunday-00_028600_1..S03R,Sunday,South Ferry,1,1..S03R
