route_id,trip_id,trip_headsign,direction_id
1,000600_1..S03R,South Ferry,1
1,002600_1..S03R,South Ferry,1
1,004600_1..S03R,South Ferry,1
1,006600_1..S03R,South Ferry,1
1,007200_1..N03R,Van Cortlandt Park-242 St,0
1,008600_1..S03R,South Ferry,1
1,009200_1..N03R,Van Cortlandt Park-242 St,0
1,010600_1..S03R,South Ferry,1
1,011200_1..N03R,Van Cortlandt Park-242 St,0
1,012600_1..S03R,South Ferry,1
1,013200_1..N03R,Van Cortlandt Park-242 St,0
1,014600_1..S03R,South Ferry,1
1,015200_1..N03R,Van Cortlandt Park-242 St,0
1,016600_1..S03R,South Ferry,1
1,017200_1..N03R,Van Cortlandt Park-242 St,0
1,018600_1..S03R,South Ferry,1
1,019200_1..N03R,Van Cortlandt Park-242 St,0
1,020600_1..S03R,South Ferry,1
1,021200_1..N03R,Van Cortlandt Park-242 St,0
1,022600_1..S03R,South Ferry,1
1,023200_1..N03R,Van Cortlandt Park-242 St,0
1,024600_1..S03R,South Ferry,1
1,025200_1..N03R,Van Cortlandt Park-242 St,0
1,026600_1..S03R,South Ferry,1
1,027200_1..N03R,Van Cortlandt Park-242 St,0
1,028600_1..S03R,South Ferry,1
1,029200_1..N03R,Van Cortlandt Park-242 St,0
1,030600_1..S03R,South Ferry,1
1,031200_1..N03R,Van Cortlandt Park-242 St,0
1,032600_1..S03R,South Ferry,1
1,033200_1..N03R,Van Cortlandt Park-242 St,0
1,034600_1..S03R,South Ferry,1
1,035200_1..N03R,Van Cortlandt Park-242 St,0
1,036450_1..S03R,South Ferry,1
1,037200_1..N03R,Van Cortlandt Park-242 St,0
1,038350_1..S03R,South Ferry,1
1,039200_1..N03R,Van Cortlandt Park-242 St,0
1,040250_1..S03R,South Ferry,1
1,041200_1..N03R,Van Cortlandt Park-242 St,0
1,041850_1..S03R,South Ferry,1
1,043200_1..N03R,Van Cortlandt Park-242 St,0
1,043400_1..S03R,South Ferry,1
1,044750_1..S03R,South Ferry,1
1,045200_1..N03R,Van Cortlandt Park-242 St,0
1,045750_1..S03R,South Ferry,1
1,046750_1..S03R,South Ferry,1
1,047200_1..N03R,Van Cortlandt Park-242 St,0
1,047750_1..S03R,South Ferry,1
1,048750_1..S03R,South Ferry,1
1,048850_1..N03R,Van Cortlandt Park-242 St,0
1,049750_1..S03R,South Ferry,1
1,050200_1..N03R,Van Cortlandt Park-242 St,0
1,050750_1..S03R,South Ferry,1
1,051400_1..N03R,Van Cortlandt Park-242 St,0
1,051750_1..S03R,South Ferry,1
1,052650_1..N03R,Van Cortlandt Park-242 St,0
1,052750_1..S03R,South Ferry,1
1,053750_1..S03R,South Ferry,1
1,053850_1..N03R,Van Cortlandt Park-242 St,0
1,054750_1..S03R,South Ferry,1
1,055050_1..N03R,Van Cortlandt Park-242 St,0
1,055750_1..S03R,South Ferry,1
1,056250_1..N03R,Van Cortlandt Park-242 St,0
1,056550_1..S03R,South Ferry,1
1,057250_1..N03R,Van Cortlandt Park-242 St,0
1,057350_1..S03R,South Ferry,1
1,058150_1..S03R,South Ferry,1
1,058250_1..N03R,Van Cortlandt Park-242 St,0
1,058950_1..S03R,South Ferry,1
1,059250_1..N03R,Van Cortlandt Park-242 St,0
1,059750_1..S03R,South Ferry,1
1,060250_1..N03R,Van Cortlandt Park-242 St,0
1,060550_1..S03R,South Ferry,1
1,061250_1..N03R,Van Cortlandt Park-242 St,0
1,061350_1..S03R,South Ferry,1
1,062050_1..N03R,Van Cortlandt Park-242 St,0
1,062050_1..S03R,South Ferry,1
1,062750_1..S03R,South Ferry,1
1,062850_1..N03R,Van Cortlandt Park-242 St,0
1,063350_1..S03R,South Ferry,1
1,063650_1..N03R,Van Cortlandt Park-242 St,0
1,063950_1..S03R,South Ferry,1
1,064450_1..N03R,Van Cortlandt Park-242 St,0
1,064550_1..S03R,South Ferry,1
1,065150_1..S03R,South Ferry,1
1,065250_1..N03R,Van Cortlandt Park-242 St,0
1,065750_1..S03R,South Ferry,1
1,066050_1..N03R,Van Cortlandt Park-242 St,0
1,066350_1..S03R,South Ferry,1
1,066850_1..N03R,Van Cortlandt Park-242 St,0
1,066950_1..S03R,South Ferry,1
1,067550_1..S03R,South Ferry,1
1,067600_1..N03R,Van Cortlandt Park-242 St,0
1,068150_1..S03R,South Ferry,1
1,068300_1..N03R,Van Cortlandt Park-242 St,0
1,068750_1..S03R,South Ferry,1
1,068900_1..N03R,Van Cortlandt Park-242 St,0
1,069350_1..S03R,South Ferry,1
1,069500_1..N03R,Van Cortlandt Park-242 St,0
1,069950_1..S03R,South Ferry,1
1,070100_1..N03R,Van Cortlandt Park-242 St,0
1,070550_1..S03R,South Ferry,1
1,070700_1..N03R,Van Cortlandt Park-242 St,0
1,071150_1..S03R,South Ferry,1
1,071300_1..N03R,Van Cortlandt Park-242 St,0
1,071750_1..S03R,South Ferry,1
1,071900_1..N03R,Van Cortlandt Park-242 St,0
1,072350_1..S03R,South Ferry,1
1,072500_1..N03R,Van Cortlandt Park-242 St,0
1,072950_1..S03R,South Ferry,1
1,073100_1..N03R,Van Cortlandt Park-242 St,0
1,073550_1..S03R,South Ferry,1
1,073700_1..N03R,Van Cortlandt Park-242 St,0
1,074150_1..S03R,South Ferry,1
1,074300_1..N03R,Van Cortlandt Park-242 St,0
1,074750_1..S03R,South Ferry,1
1,074900_1..N03R,Van Cortlandt Park-242 St,0
1,075350_1..S03R,South Ferry,1
1,075500_1..N03R,Van Cortlandt Park-242 St,0
1,075950_1..S03R,South Ferry,1
1,076100_1..N03R,Van Cortlandt Park-242 St,0
1,076550_1..S03R,South Ferry,1
1,076700_1..N03R,Van Cortlandt Park-242 St,0
1,077150_1..S03R,South Ferry,1
1,077300_1..N03R,Van Cortlandt Park-242 St,0
1,077750_1..S03R,South Ferry,1
1,077900_1..N03R,Van Cortlandt Park-242 St,0
1,078350_1..S03R,South Ferry,1
1,078500_1..N03R,Van Cortlandt Park-242 St,0
1,078950_1..S03R,South Ferry,1
1,079100_1..N03R,Van Cortlandt Park-242 St,0
1,079550_1..S03R,South Ferry,1
1,079700_1..N03R,Van Cortlandt Park-242 St,0
1,080150_1..S03R,South Ferry,1
1,080300_1..N03R,Van Cortlandt Park-242 St,0
1,080750_1..S03R,South Ferry,1
1,080900_1..N03R,Van Cortlandt Park-242 St,0
1,081350_1..S03R,South Ferry,1
1,081500_1..N03R,Van Cortlandt Park-242 St,0
1,081950_1..S03R,South Ferry,1
1,082100_1..N03R,Van Cortlandt Park-242 St,0
1,082550_1..S03R,South Ferry,1
1,082700_1..N03R,Van Cortlandt Park-242 St,0
1,083150_1..S03R,South Ferry,1
1,083300_1..N03R,Van Cortlandt Park-242 St,0
1,083750_1..S03R,South Ferry,1
1,083900_1..N03R,Van Cortlandt Park-242 St,0
1,084350_1..S03R,South Ferry,1
1,084500_1..N03R,Van Cortlandt Park-242 St,0
1,084950_1..S03R,South Ferry,1
1,085100_1..N03R,Van Cortlandt Park-242 St,0
1,085550_1..S03R,South Ferry,1
1,085700_1..N03R,Van Cortlandt Park-242 St,0
1,086150_1..S03R,South Ferry,1
1,086300_1..N03R,Van Cortlandt Park-242 St,0
1,086750_1..S03R,South Ferry,1
1,086900_1..N03R,Van Cortlandt Park-242 St,0
1,087350_1..S03R,South Ferry,1
1,087500_1..N03R,Van Cortlandt Park-242 St,0
1,087950_1..S03R,South Ferry,1
1,088100_1..N03R,Van Cortlandt Park-242 St,0
1,088550_1..S03R,South Ferry,1
1,088700_1..N03R,Van Cortlandt Park-242 St,0
1,089150_1..S03R,South Ferry,1
1,089300_1..N03R,Van Cortlandt Park-242 St,0
1,089750_1..S03R,South Ferry,1
1,089900_1..N03R,Van Cortlandt Park-242 St,0
1,090350_1..S03R,South Ferry,1
1,090500_1..N03R,Van Cortlandt Park-242 St,0
1,090950_1..S03R,South Ferry,1
1,091100_1..N03R,Van Cortlandt Park-242 St,0
1,091550_1..S03R,South Ferry,1
1,091700_1..N03R,Van Cortlandt Park-242 St,0
1,092150_1..S03R,South Ferry,1
1,092300_1..N03R,Van Cortlandt Park-242 St,0
1,092750_1..S03R,South Ferry,1
1,092900_1..N03R,Van Cortlandt Park-242 St,0
1,093350_1..S03R,South Ferry,1
1,093500_1..N03R,Van Cortlandt Park-242 St,0
1,093950_1..S03R,South Ferry,1
1,094100_1..N03R,Van Cortlandt Park-242 St,0
1,094550_1..S03R,South Ferry,1
1,094700_1..N03R,Van Cortlandt Park-242 St,0
1,095150_1..S03R,South Ferry,1
1,095300_1..N03R,Van Cortlandt Park-242 St,0
1,095750_1..S03R,South Ferry,1
1,095900_1..N03R,Van Cortlandt Park-242 St,0
1,096350_1..S03R,South Ferry,1
1,096500_1..N03R,Van Cortlandt Park-242 St,0
